rownumber,id,date,primaryCSC,rat weight (kg),systemic drug,DREADDs drug,DREADDs drug route,systemic dose (% or mg/kg/min),systemic drug concentration (mg/mL),total systemic time (min),DREADDs drug concentration (mg/mL),DREADDs drug dose (mg/kg),zero time (s),channel of interest,event rows,emg channel,events filename,states filename,Xtrode filenames,Xtrode regions,units CSCs,LFP and EEG CSCs,Baseline Period (min),Systemic Drug Baseline Period (min),EMG Anesthesia Period (min),comments
91,R190619A,190906,D:\data\R190617A_R190619A_190906_syst_ketamine_saline_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.799,ketamine,CNO,ip,2,6,30,0.5,1,4453.22650300000,,16,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,21+(56/60),"CNO was given at 1:08 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline."
92,R190620,190906,D:\data\R190620_R190618B_190906_syst_ketamine_CNO_syst_ketamine_saline\PFCvsPCEEG.ncs,0.6645,ketamine,CNO,ip,2,6,30,0.5,1,14600.0689130000,,14,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,30.5,"CNO was given at 3:59 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
93,R190618B,190906,D:\data\R190620_R190618B_190906_syst_ketamine_CNO_syst_ketamine_saline\PFCvsPCEEG2.ncs,0.7255,ketamine,saline,ip,2,6,30,NA,NA,15761.6373270000,,18,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,27.25,"Saline was given at 4:18 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
94,R190617A,190910,D:\data\R190617A_R190619A_190910_syst_ketamine_CNO_syst_ketamine_saline\PFCvsPCEEG.ncs,0.673,ketamine,CNO,ip,2,6,30,0.5,1,2113.56683200000,,13,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,23+(29/60),"CNO was given at 1:12 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording. CNO never fully dissolved."
95,R190619A,190910,D:\data\R190617A_R190619A_190910_syst_ketamine_CNO_syst_ketamine_saline\PFCvsPCEEG2.ncs,0.773,ketamine,saline,ip,2,6,30,NA,NA,3144.94244600000,,12,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,11.5,"Saline was given at 1:29 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
96,R190620,190910,D:\data\R190620_R190618B_190910_syst_ketamine_saline_syst_ketamine_CNO\PFCvsPCEEG.ncs,0.6595,ketamine,saline,ip,2,6,30,NA,NA,15559.4279640000,,12,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,29+(31/60),"Saline was given at 4:56 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
97,R190618B,190910,D:\data\R190620_R190618B_190910_syst_ketamine_saline_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.725,ketamine,CNO,ip,2,6,30,0.5,1,16569.2267040000,,16,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,29+(19/60),"CNO was given at 5:13 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
98,R191014,191112,D:\data\R191014_191112_saline\PFCvsPCEEG.ncs,0.479,none,saline,ip,NA,NA,NA,NA,NA,2023.24414000000,,,EMG.ncs,Events.nev,R191014_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,184.05,
99,R191014,191115,D:\data\R191014_191115_CNO\PFCvsPCEEG.ncs,0.492,none,CNO,ip,NA,NA,NA,0.5,1,3920.45236500000,,,EMG.ncs,Events.nev,R191014_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,240.45,
100,R191016,191119,D:\data\R191016_R191015_191119_syst_dexmedetomidine_saline\PFCvsPCEEG.ncs,0.4835,dexmedetomidine,saline,ip,0.0003,0.002,45,NA,NA,2346.61441700000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,36.85,"Saline was given at 12:35 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline. Heating pad was already started before recording. He had pink urine following the ip injection. He also seemed to be in pain and was chewing at the tail vein cannula a lot during the infusion, but eventually went down. He wouldn't let me turn him over (didn't lose righting reflex), so I just recorded when he started moving again."
101,R191015,191119,D:\data\R191016_R191015_191119_syst_dexmedetomidine_saline\PFCvsPCEEG2.ncs,0.4505,dexmedetomidine,saline,ip,0.0003,0.002,45,NA,NA,3192.21032300000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,45.65,"Saline was given at 12:49 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline. Heating pad was already started before recording."
102,R191014,191121,D:\data\R191014_R191030_191121_syst_dexmedetomidine_saline\PFCvsPCEEG.ncs,0.505,dexmedetomidine,saline,ip,0.0003,0.002,45,NA,NA,2300.30717600000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,10.8,"Saline was given at 11:33 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline. Heating pad was already started before recording. He would flinch a lot as he was going under. He mostly let me turn him on his side, but maybe one front paw was not out to the side."
103,R191030,191121,D:\data\R191014_R191030_191121_syst_dexmedetomidine_saline\PFCvsPCEEG2.ncs,0.4145,dexmedetomidine,saline,ip,0.0003,0.002,45,NA,NA,3099.65330600000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,21.3,"Saline was given at 11:47 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline. Heating pad was already started before recording. He mostly let me turn him on his side, but maybe one front paw was not out to the side."
104,R191016,191125,D:\data\R191016_R191015_191125_syst_dexmedetomidine_CNO\PFCvsPCEEG.ncs,0.490,dexmedetomidine,CNO,ip,0.0003,0.002,45,0.5,1,2217.14425000000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,45+(23/60),"CNO was given at 11:33 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline. Heating pad was already started before recording. He wouldn't let me turn him over (didn't lose righting reflex), so I just recorded when he started moving again."
105,R191015,191125,D:\data\R191016_R191015_191125_syst_dexmedetomidine_CNO\PFCvsPCEEG2.ncs,0.4615,dexmedetomidine,CNO,ip,0.0003,0.002,45,0.5,1,3223.85637200000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,45+(16/60),"CNO was given at 11:50 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline. Heating pad was already started before recording. He wouldn't let me turn him over (didn't lose righting reflex), so I just recorded when he started moving again."
106,R191030,191126,D:\data\R191030_R191014_191126_syst_dexmedetomidine_CNO\PFCvsPCEEG.ncs,0.425,dexmedetomidine,CNO,ip,0.0003,0.002,45,0.5,1,1921.15797700000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,45+(47/60),"CNO was given at 12:13 pm, ~1 hr, 1 min before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline. Heating pad was already started before recording. Dex infusion was started probably ~7 s after the event (the button didn't press)."
107,R191014,191126,D:\data\R191030_R191014_191126_syst_dexmedetomidine_CNO\PFCvsPCEEG2.ncs,0.519,dexmedetomidine,CNO,ip,0.0003,0.002,45,0.5,1,3056.32622500000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,48+(26/60),"CNO was given at 12:33 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline. Heating pad was already started before recording."
108,R191030,191129,D:\data\R191030_R191015_191129_syst_ketamine_saline\PFCvsPCEEG.ncs,0.425,ketamine,saline,ip,2,6,30,NA,NA,1904.88221300000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,23.55,"Saline was given at 12:04 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
109,R191015,191129,D:\data\R191030_R191015_191129_syst_ketamine_saline\PFCvsPCEEG2.ncs,0.4605,ketamine,saline,ip,2,6,30,NA,NA,2764.48385800000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,16+(50/60),"Saline was given at 12:20 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
110,R191014,191129,D:\data\R191014_R191016_191129_syst_ketamine_saline\PFCvsPCEEG.ncs,0.520,ketamine,saline,ip,2,6,30,NA,NA,12896.8130800000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,26+(34/60),"Saline was given at 3:07 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
111,R191016,191129,D:\data\R191014_R191016_191129_syst_ketamine_saline\PFCvsPCEEG2.ncs,0.499,ketamine,saline,ip,2,6,30,NA,NA,13605.6138980000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,30+(8/60),"Saline was given at 3:19 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
112,R191030,191205,D:\data\R191030_R191015_191205_syst_ketamine_CNO\PFCvsPCEEG.ncs,0.4225,ketamine,CNO,ip,2,6,30,0.5,1,2365.91518000000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,22.7,"Saline was given at 11:12 am, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
113,R191015,191205,D:\data\R191030_R191015_191205_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.4695,ketamine,CNO,ip,2,6,30,0.5,1,3198.38158700000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,14+(41/60),"Saline was given at 11:26 am, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
114,R191014,191205,D:\data\R191014_R191016_191205_syst_ketamine_CNO\PFCvsPCEEG.ncs,0.537,ketamine,CNO,ip,2,6,30,0.5,1,14171.3121550000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,30+(44/60),"Saline was given at 2:29 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
115,R191016,191205,D:\data\R191014_R191016_191205_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.504,ketamine,CNO,ip,2,6,30,0.5,1,15257.8894520000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,29.45,"Saline was given at 2:47 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
116,R191015,191212,D:\data\R191015_R191016_191212_saline\PFCvsPCEEG.ncs,0.479,none,saline,ip,NA,NA,NA,NA,NA,1355.01719700000,,,EMG.ncs,Events.nev,R191015_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,
117,R191016,191212,D:\data\R191015_R191016_191212_saline\PFCvsPCEEG2.ncs,0.5085,none,saline,ip,NA,NA,NA,NA,NA,1748.60638900000,,,EMG2.ncs,Events.nev,R191016_states.mat,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,1,
118,R191015,191216,D:\data\R191015_R191016_191216_CNO\PFCvsPCEEG.ncs,0.4855,none,CNO,ip,NA,NA,NA,0.5,1,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,
119,R191016,191216,D:\data\R191015_R191016_191216_CNO\PFCvsPCEEG2.ncs,0.518,none,CNO,ip,NA,NA,NA,0.5,1,0,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,1,
120,R191015,191231,D:\data\R191015_R191016_191231_CNO\PFCvsPCEEG.ncs,0.4975,none,CNO,ip,NA,NA,NA,0.5,1,2324.59975400000,,,EMG.ncs,Events.nev,R191015_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,
121,R191016,191231,D:\data\R191015_R191016_191231_CNO\PFCvsPCEEG2.ncs,0.5395,none,CNO,ip,NA,NA,NA,0.5,1,2442.99598300000,,,EMG2.ncs,Events.nev,R191016_states.mat,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,1,
122,R191014,200113,D:\data\R191014_R191016_200113_syst_ketamine_saline\PFCvsPCEEG.ncs,0.633,ketamine,saline,ip,4,6,15,NA,NA,2114.25735400000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,"Saline was given at 2:31 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording. I accidentally pressed the infusion button twice, so it stopped a split second after it started, and then ~2 seconds later I started it again."
123,R191016,200113,D:\data\R191014_R191016_200113_syst_ketamine_saline\PFCvsPCEEG2.ncs,0.548,ketamine,saline,ip,4,6,15,NA,NA,3107.03087000000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,1,"Saline was given at 2:48 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
124,R191014,200116,D:\data\R191014_R191016_200116_syst_ketamine_CNO\PFCvsPCEEG.ncs,0.630,ketamine,CNO,ip,4,6,15,0.5,1,2172.21163300000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,"CNO was given at 1:41 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
125,R191016,200116,D:\data\R191014_R191016_200116_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.5545,ketamine,CNO,ip,4,6,15,0.5,1,3246.62993600000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,1,"CNO was given at 1:58 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 2.4 mL of 100 mg/mL ketamine in 37.6 mL saline. Heating pad was already started before recording."
126,R191014,200120,D:\data\R191014_R191016_200120_syst_dexmedetomidine_saline\PFCvsPCEEG.ncs,0.619,dexmedetomidine,saline,ip,0.0045,0.005,10,NA,NA,2340.41892900000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,"Saline was given at 12:03 pm, ~1 hr before the start of the dexmedetomidine infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
127,R191016,200120,D:\data\R191014_R191016_200120_syst_dexmedetomidine_saline\PFCvsPCEEG2.ncs,0.557,dexmedetomidine,saline,ip,0.0045,0.005,10,NA,NA,3190.40973000000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,1,"Saline was given at 12:18 pm, ~1 hr before the start of the dexmedetomidine infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
128,R191030,200121,D:\data\R191030_200121_saline\PFCvsPCEEG.ncs,0.5125,none,saline,ip,NA,NA,NA,NA,NA,1018.45747900000,,,EMG.ncs,Events.nev,R191030_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,
129,R191014,200123,D:\data\R191014_R191016_200123_syst_dexmedetomidine_CNO\PFCvsPCEEG.ncs,0.610,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,2170.30784100000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,"CNO was given at 12:03 pm, ~1 hr before the start of the dexmedetomidine infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
130,R191016,200123,D:\data\R191014_R191016_200123_syst_dexmedetomidine_CNO\PFCvsPCEEG2.ncs,0.5565,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,3130.52832500000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,1,"CNO was given at 12:19 pm, ~1 hr before the start of the dexmedetomidine infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
131,R191030,200124,D:\data\R191030_200124_CNO\PFCvsPCEEG.ncs,0.511,none,CNO,ip,NA,NA,NA,0.5,1,1147.24255300000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,Rat chewed through his cable.
132,R191030,200128,D:\data\R191030_200128_CNO\PFCvsPCEEG.ncs,0.5065,none,CNO,ip,NA,NA,NA,0.5,1,2215.45282000000,,,EMG.ncs,Events.nev,R191030_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,
133,Rtest,200803,D:\data\Rtest_200803\PFCvsPCEEG.ncs,0,none,none,ip,NA,NA,NA,NA,NA,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,1,
134,R201214A,210111,,0.5075,none,CNO,ip,NA,NA,NA,0.5,1,,,,,,,,,,,,,,"CNO was given at 3:35 pm, 1 hr 10 mins before the perfusion started."
135,R201214B,210218,,0.7085,none,CNO,ip,NA,NA,NA,0.5,1,,,,,,,,,,,,,,"CNO was given at 2:30 pm, 1 hr before the perfusion started."
136,R201214C,210303,,0.644,none,saline,ip,NA,NA,NA,NA,NA,,,,,,,,,,,,,,"Saline was given at 3:29 pm, 1 hr 10 mins before the perfusion started."
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26